,BlockName,Key,Field,node_id,parent_id,hash
0,90,7,15,,,
1,SCRIPT,,,0,0,
2,event_whenflagclicked,,,1,0,+QLW.URPi#T/$PR}z*bH
3,looks_switchcostumeto,,"{""COSTUME"": [1, ""D@[C{RiXO.2~SIt7d%wX""]}",2,2,~{z]uf_E;DrA.Fh(|hD/
4,motion_movesteps,,"{""STEPS"": [1, [4, ""-10""]]}",3,3,7RicQ@?ymPmQN:t`c2ES
5,looks_sayforsecs,,"{""MESSAGE"": [1, [10, ""Wow!!! The New PlayStation 5""]], ""SECS"": [1, [4, ""2""]]}",4,4,xbV?R]0-7^B[MU7OhR0^
6,looks_switchcostumeto,,"{""COSTUME"": [1, ""?oCa)I?%mKUuTPx55q,h""]}",5,5,";),bW%Uid+[-BBR?/(k~"
7,looks_switchcostumeto,,"{""COSTUME"": [1, ""Q6xph^JPWaj0khxlQ.[~""]}",6,6,Mj5mde_X)5;:n}zWN-D4
8,looks_thinkforsecs,,"{""MESSAGE"": [1, [10, ""Hmm...""]], ""SECS"": [1, [4, ""2""]]}",7,7,XJT)$i{?An2~tgoOomya
9,looks_thinkforsecs,,"{""MESSAGE"": [1, [10, ""Lemme Ask Dad To Buy It For Me!!!""]], ""SECS"": [1, [4, ""2""]]}",8,8,3s`Ef!Cb8dbd~~~G3dwv
10,looks_switchcostumeto,,"{""COSTUME"": [1, ""j)6N?)-WJe*)nW.hUh3.""]}",9,9,35|cYA6/nQ}K-H8*Dg~S
