Blockname,Key,Field
90,1.9073485191256623e-07,1.0000002543131288
Nextscript,,
event_whenthisspriteclicked,,
data_setvariableto,,
data_setvariableto,,
data_setvariableto,,
control_if,,
operator_equals,,
looks_sayforsecs,,"{'MESSAGE': [1, [10, 'ha salido un 1']], 'SECS': [1, [4, '2']]}"
control_if,,
operator_equals,,
looks_sayforsecs,,"{'MESSAGE': [1, [10, 'ha salido un 2  ']], 'SECS': [1, [4, '2']]}"
control_if,,
operator_equals,,
looks_sayforsecs,,"{'MESSAGE': [1, [10, 'ha salido un 3 ']], 'SECS': [1, [4, '2']]}"
control_if,,
operator_equals,,
looks_sayforsecs,,"{'MESSAGE': [1, [10, 'ha salido un 4']], 'SECS': [1, [4, '2']]}"
control_if,,
operator_equals,,
looks_sayforsecs,,"{'MESSAGE': [1, [10, 'ha salido un 5']], 'SECS': [1, [4, '2']]}"
control_if,,
operator_equals,,
looks_sayforsecs,,"{'MESSAGE': [1, [10, 'ha salido un 6']], 'SECS': [1, [4, '2']]}"
